Orders.csv,,,,,
Client Order ID,Instrument,Side,Quantity,Price,Trader ID
aa13,Rose,1,300,65,tr002
aa14,Rose,2,100,55,tr002
aa15,Rose,1,100,75,tr002
aa16,Rose,2,100,85,tr002
aa17,Rose,2,500,100,tr002
aa34,Orchid,1,500,20,tr002
aa35,Orchid,2,900,20,tr002
aa36,Orchid,2,500,1,tr002
aa37,Tulip,1,300,65,tr002
aa38,Tulip,2,100,55,tr002
aa39,Tulip,1,100,75,tr002
aa24,Rose,2,500,1,tr002
aa25,Orchid,1,300,65,tr002
aa26,Orchid,2,100,55,tr002
aa27,Orchid,1,100,75,tr002
aa44,Tulip,1,700,2,tr002
aa45,Tulip,2,80,100,tr002
aa46,Tulip,1,500,20,tr002
aa31,Orchid,2,900,1,tr002
aa32,Orchid,1,700,2,tr002
aa33,Orchid,2,80,100,tr002
aa68,Lotus,1,700,2,tr002
aa69,Lotus,2,80,100,tr002
aa70,Lotus,1,500,20,tr002
aa71,Lotus,2,900,20,tr002
aa72,Lotus,2,500,1,tr002
aa20,Rose,1,700,2,tr002
aa40,Tulip,2,100,85,tr002
aa41,Tulip,2,500,100,tr002
aa42,Tulip,1,200,5,tr002
aa43,Tulip,2,900,1,tr002
aa21,Rose,2,80,100,tr002
aa22,Rose,1,500,20,tr002
aa23,Rose,2,900,20,tr002
aa47,Tulip,2,900,20,tr002
aa48,Tulip,2,500,1,tr002
aa49,Lavender,1,300,65,tr002
aa50,Lavender,2,100,55,tr002
aa51,Lavender,1,100,75,tr002
aa52,Lavender,2,100,85,tr002
aa18,Rose,1,200,5,tr002
aa19,Rose,2,900,1,tr002
aa65,Lotus,2,500,100,tr002
aa28,Orchid,2,100,85,tr002
aa29,Orchid,2,500,100,tr002
aa30,Orchid,1,200,5,tr002
aa59,Lavender,2,900,20,tr002
aa60,Lavender,2,500,1,tr002
aa61,Lotus,1,300,65,tr002
aa62,Lotus,2,100,55,tr002
aa63,Lotus,1,100,75,tr002
aa64,Lotus,2,100,85,tr002
aa57,Lavender,2,80,100,tr002
aa66,Lotus,1,200,5,tr002
aa67,Lotus,2,900,1,tr002
aa53,Lavender,2,500,100,tr002
aa54,Lavender,1,200,5,tr002
aa55,Lavender,2,900,1,tr002
aa56,Lavender,1,700,2,tr002
aa58,Lavender,1,500,20,tr002
